DOEID,EUI,GNDHDD65,HDD30YR,HDD65,TOTSQFT_EN,HDD50,CDD65,CDD30YR,CDD80,TEMPGONEAC,TEMPHOMEAC,TEMPNITEAC,EQUIPAGE,AGECENAC,WHEATAGE,NOACDAYS,AGECDRYER,AGERFRI1,NOHEATDAYS,AGECWASH,AGERFRI2,AGEDW,HHAGE,DBT99,AGEFRZR,AMTMICRO,TYPERFR2,WINDOWS,OUTGRILLFUEL,STORIES,LGTIN4,GWT,WWACAGE,COOKTUSE,TYPERFR1,TEMPGONE,OA_LAT,TEMPNITE,SEPCOOKTUSE,DBT1,SMARTMETER,DRYRUSE,WASHLOAD,INTDATA,INTDATAACC,TEMPHOME,USEMOISTURE,OVENUSE,ESWIN,USENOTMOIST,DWASHUSE,ESLIGHT,ESFRIG,ESWATER,DIVISION,ESCWASH,ESDRYER,SEPOVENUSE,STOVENFUEL,MONTUB,ESDISHW,IECC_CLIMATE_PUB,AUDIT,EQUIPAUXTYPE,OVENFUEL,LOCRFRI2,SIZFREEZ,SIZRFRI2,TOTROOMS,DRYRFUEL,MONEYPY,YEARMADERANGE,AUDITCHG,DWCYCLE,TVTYPE2,STOVEFUEL,USEWWAC,NUMCFAN,ROOFTYPE,TVONWE2,USECENAC,SIZEOFGARAGE,MONPOOL,ATHOME,FUELAUX,TVONWD2,SMARTTHERM,ESFREEZE,TVSIZE2,FREEAUDIT,LGTINLED,UPRTFRZR,NUMBERAC,RECYCAPP,TAXCREDITAPP,OTHROOMS,FUELH2O,EELIGHTS,REBATEAPP,FUELTUB,EQUIPM,CLIMATE_REGION_PUB,OCCUPYYRANGE,BENOTHER,LGTINCAN,WALLTYPE,FUELHEAT,TVCOLOR,NHSLDMEM,BASEHEAT,RNSETEMP,BASEFIN,LGTINCFL,WASHTEMP,TVTYPE1,CABLESAT,THERMAINAC,PERIODNG,BASECOOL,PROTHERMAC,NUMSMPHONE,WHEATSIZ,LGTOUTNUM,COMBODVR,TVONWE1,TVONWD1,NUMTABLET,LGTINNUM,COOLTYPE,NUMFLOORFAN,NUMLAPTOP,FUELH2O2,NUMMEAL,HOUSEHOLDER_RACE,EDUCATION,ATTICFIN,EQUIPMUSE,H2OHEATAPT,PLAYSTA,DVD,PERIODEL,BEDROOMS,SWAMPCOL,GARGHEAT,NUMCHILD,ZCENACHP,ATTCHEAT,REGIONC,ATTCCOOL,ZATTICFIN,ZATTCHEAT,GARGCOOL,ZSWAMPCOL,ZATTCCOOL,ZGARGCOOL,ZLOCRFRI2,TVSIZE1,ZAGERFRI2,ZBASEFIN,ZBASEHEAT,ZGARGHEAT,CENACHP,ZSIZEOFGARAGE,ZSIZRFRI2,ZBASECOOL,ZAGEFRZR,ZUPRTFRZR,ZSIZFREEZ,INTSTREAM,TOPFRONT,ZDWCYCLE,PRKGPLC1,ATTIC,ZTYPERFR2,ZUSEMOISTURE,WINFRAME,ZAGECENAC,CELLAR,LGTOUTCNTL,ZTVTYPE2,ZOUTGRILLFUEL,ZPROTHERMAC,ZWWACAGE,SCALEE,ZUSECENAC,NUMADULT,ZTHERMAINAC,NUMATTICFAN,ZUSEWWAC,FUELPOOL,ZNUMBERAC,DOOR1SUM,ZAGEDW,ZDWASHUSE,SCALEB,TYPEHUQ,ZTVONWD2,ZTVONWE2,ZTVSIZE2,ZSEPCOOKTUSE,NUMWHOLEFAN,NCOMBATH,ZSTOVEFUEL,CELLPHONE,NUMFRIG,ZUSENOTMOIST,OUTLET,INWIRELESS,DRAFTY,ZSEPOVENUSE,PROTHERM,ZOVENFUEL,PAYHELP,TVAUDIOSYS,DESKTOP,ADQINSUL,ELPERIPH,ZPAYHELP,SCALEG,POOL,VCR,ZTEMPGONEAC,SIZRFRI1,ZSTOVENFUEL,ZOVENUSE,ZCOOKTUSE,SWIMPOOL,ZTEMPNITEAC,DUALOVENFUEL,ZLGTOUTCNTL,EMPLOYHH,ZSTORIES,ZNUMWHOLEFAN,ZCELLAR,ZATTIC,ZPRKGPLC1,ZNUMATTICFAN,ZTEMPHOMEAC,UATYP10,ENERGYASST15,ZMONTUB,STUDIO,ENERGYASST14,SOLAR,ZH2OHEATAPT,NGPAY,ZLGTOUTNUM,HIGHCEIL,ZCOOLTYPE,ZWHEATSIZ,ENERGYASST13,ZSTUDIO,BACKUP,ZSWIMPOOL,ZAGECDRYER,ELPAY,ENERGYASST12,ZMONPOOL,ZPOOL,ZWASHTEMP,ZRNSETEMP,ZDRYRFUEL,ZDRYRUSE,ZFUELTUB,ENERGYASST11,NUMFREEZ,MORETHAN1H2O,SEPDVR,ZAGECWASH,ZROOFTYPE,NHAFBATH,ZINWIRELESS,OVEN,ZWASHLOAD,ZTOPFRONT,ICE,ENERGYASSTOTH,ELFOOD,ZMORETHAN1H2O,HHSEX,UGCOOK,LGTINCNTL,ZENERGYASST11,ZENERGYASST12,ZENERGYASST13,ZENERGYASST14,ZENERGYASST15,ZENERGYASSTOTH,ZBACKUP,TYPEGLASS,ZPROTHERM,ZOUTLET,UGOTH,TOAST,COFFEE,NOHEATHELP,BLENDER,MOISTURE,ZNOACDAYS,CROCKPOT,NOACHELP,ELWARM,OUTGRILL,ZFUELH2O2,ZTOTSQFT_EN,ZNOACHELP,TOASTOVN,ZNOHEATDAYS,ZTVTYPE1,KOWNRENT,ZNOHEATHELP,STOVE,STOVEN,ELWATER,METROMICRO,DISHWASH,UGWATER,NOTMOIST,ZFUELPOOL,RICECOOK,FOODPROC,MICRO,ZNGAMOUNT,APPOTHER,ZWHEATAGE,ZSEPDVR,SDESCENT,RECBATH,ZAMTMICRO,ZTVONWD1,ZCOMBODVR,ZPLAYSTA,ZTVONWE1,AIRCOND,ELCOOL,ZINTSTREAM,ZCABLESAT,ZMONEYPY,ZEQUIPAGE,ZVCR,ZDVD,ZYEARMADERANGE,DUALCOOKTFUEL,ZTVAUDIOSYS,ZHIGHCEIL,ZTVSIZE1,DRYER,ZFUELH2O,ZTEMPGONE,ZELAMOUNT,ZWINFRAME,CWASHER,INTERNET,ENERGYASST,ZHOUSEHOLDER_RACE,THERMAIN,ZAGERFRI1
10003,42.19762238,1860.23,2714,2263,2288,634,2235,2059,126,85,75,75,42,42,41,-2,2,41,-2,2,3,3,73,24.9,-2,14,21,41,23,10,8,62.32,1,14,21,70,10.271,68,-2,92.5,-9,3,3,-9,-9,70,-2,14,0,-2,7,1,0,0,6,1,1,-2,5,-2,0,3,0,1,-2,1,-2,4,9,5,2,4,-2,2,1,-2,4,7,5,3,1,-2,-2,5,5,3,0,-2,2,0,0,-2,2,0,0,5,1,0,0,-2,3,4,7,0,0,2,1,4,4,1,3,1,1,3,2,4,1,1,1,1,2,3,1,2,4,4,2,2,3,0,2,-2,2,1,1,-2,1,-2,2,2,1,4,0,-2,1,0,-2,3,-2,-2,-2,-2,1,-2,-2,0,2,0,0,0,-2,0,-2,0,0,-2,-2,-2,1,2,1,0,0,0,-2,1,0,1,0,1,0,0,0,0,0,3,0,0,0,-2,0,1,0,0,0,2,0,0,0,-2,0,2,-2,0,2,-2,1,1,3,-2,1,-2,-2,0,1,2,2,-2,0,-2,2,1,4,0,0,0,0,0,-2,0,1,0,0,0,0,0,0,0,1,-2,-2,-2,-2,0,-2,1,0,0,0,0,-2,-2,0,0,0,1,-2,-2,-2,0,0,0,0,-2,-2,0,0,0,0,0,0,1,0,0,0,1,-2,1,0,1,0,1,-2,-2,-2,-2,-2,-2,0,1,0,0,0,1,1,-2,0,0,-2,1,-2,1,1,-2,1,-2,1,-2,1,1,-2,0,2,0,1,1,1,0,-2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,-2,0,0,0,1,0,0,0,0,1,1,0,0,1,0
10012,75.77763167,3592.98,4740,4007,600,1473,1706,1143,103,-2,-2,-2,42,-2,2,-2,3,3,4,3,-2,-2,24,12.3,-2,4,-2,30,-2,10,2,55.86,-2,3,22,64,6.233,68,-2,91.7,0,1,1,-2,-2,70,-2,1,0,-2,-2,0,0,0,4,0,0,-2,1,-2,-2,6,-9,1,-2,-2,-2,-2,4,1,1,1,-9,-2,1,-2,-2,2,5,2,-2,-2,-2,5,5,2,0,-2,3,-2,0,-2,-2,-2,-2,3,1,-2,-2,-2,3,4,8,-2,3,4,5,2,1,-2,2,-2,4,2,1,0,-2,1,-2,-2,1,1,1,0,2,2,0,1,-2,1,1,-2,4,1,3,-2,2,-2,3,0,1,1,-2,-2,0,-2,-2,2,-2,-2,-2,-2,-2,-2,-2,-2,3,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0,1,-2,0,0,-2,-2,1,-2,0,0,0,-2,-2,-2,0,-2,1,-2,0,-2,-2,-2,0,-2,-2,1,2,0,0,0,-2,0,1,-2,0,1,-2,1,1,3,-2,0,-2,-2,0,1,3,0,-2,2,-2,0,-2,3,0,0,0,0,-2,-2,0,1,0,0,0,0,0,0,-2,1,-2,-2,-2,-2,0,-2,1,0,0,-2,0,-2,-2,0,0,0,1,-2,-2,-2,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,1,1,0,-2,-2,-2,-2,-2,-2,0,1,0,0,1,0,0,0,0,0,-2,0,-2,1,0,-2,1,-2,0,0,0,2,0,0,1,0,1,0,1,0,-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2,0,0,0,1,0,0,0,0,1,1,0,0,1,0
10013,27.15610138,488.23,1593,1327,1884,233,2935,2650,301,75,70,69,2,1,1,-2,1,3,-2,1,42,2,83,32.3,-2,25,21,41,-2,10,6,70.79,-2,14,21,50,21.604,65,-2,91.2,-9,5,5,-9,-9,69,-2,8,0,-2,2,0,0,0,6,-9,1,-2,5,-2,1,1,0,3,-2,2,-2,3,5,5,2,8,-2,2,1,-2,-2,5,5,4,2,2,-2,5,1,4,0,-2,2,-2,0,-2,-2,-2,-2,2,5,-2,-2,-2,3,3,8,-2,4,1,5,3,1,-2,3,-2,2,3,1,0,1,5,-2,0,0,2,2,1,3,3,0,2,1,0,0,-2,3,1,2,0,2,-2,0,1,1,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,2,0,-2,-2,0,0,0,0,-2,-2,-2,-2,0,1,0,1,1,0,-2,2,1,0,0,1,-2,0,-2,0,0,1,0,1,-2,-2,-2,0,0,0,2,2,0,0,0,-2,0,2,-2,1,2,-2,1,1,3,-2,1,-2,-2,0,1,3,1,-2,0,-2,1,0,3,0,1,0,0,0,-2,0,0,0,0,0,0,0,0,0,2,-2,-2,-2,-2,0,-2,1,0,0,0,1,-2,-2,0,0,0,1,-2,-2,-2,0,0,0,1,-2,-2,0,0,0,0,0,0,0,0,1,0,0,-2,1,0,1,0,1,-2,-2,-2,-2,-2,-2,0,1,0,0,0,0,1,-2,0,0,-2,0,-2,1,0,-2,1,-2,0,-2,1,2,-2,0,1,1,1,1,0,0,-2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,-2,0,0,0,1,0,0,0,0,1,1,0,0,1,0
10015,35.26539949,5884.26,6073,5274,4308,2384,1053,760,12,80,70,70,41,41,3,-2,2,2,-2,2,41,2,42,8.8,41,10,22,42,2,20,20,48.88,-2,-2,21,60,0,60,5,91.1,1,3,3,0,-2,70,-2,-2,0,-2,7,1,1,0,8,1,1,5,-2,-2,1,9,0,1,5,2,4,3,10,5,6,7,-2,2,3,1,-2,2,7,3,2,2,-2,1,5,2,0,0,3,0,4,1,-2,0,0,6,1,0,1,-2,3,1,8,0,4,1,1,3,5,1,3,0,2,3,2,0,1,1,1,1,2,3,2,2,3,3,1,4,1,2,3,-2,3,2,5,-2,2,-2,1,1,1,4,0,0,3,0,-2,4,-2,-2,-2,0,0,-2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,-2,1,0,1,0,0,0,0,-2,0,0,2,0,0,-2,-2,-2,1,0,0,0,2,0,0,0,0,0,2,0,0,2,-2,1,1,4,0,1,0,-2,0,2,1,1,-2,0,-2,0,0,4,-2,-2,-2,0,0,-2,0,1,0,0,0,0,0,0,0,1,-2,-2,-2,-2,0,-2,1,0,0,0,0,-2,-2,0,0,0,1,-2,-2,-2,0,0,0,0,-2,-2,1,0,0,0,0,1,0,2,0,0,1,-2,1,0,2,1,0,-2,-2,-2,-2,-2,-2,0,2,0,0,0,1,0,-2,0,0,-2,1,-2,1,1,-2,0,-2,0,-2,0,1,-2,1,0,0,1,1,1,0,-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-2,0,0,0,1,0,0,0,0,1,1,0,0,1,0
10019,43.08446214,4534.77,4748,3927,1664,814,521,254,1,72,72,72,5,5,3,-2,41,41,-2,41,41,1,80,27.3,3,3,1,50,23,10,10,52.58,-2,-2,21,70,0.37,60,35,88,0,4,4,-2,-2,70,-2,-2,0,-2,7,0,1,1,10,1,1,15,-2,-2,1,7,0,1,5,2,2,2,5,5,4,6,-2,1,-2,1,-2,3,5,-2,4,2,-2,5,5,-2,0,1,-2,0,0,2,-2,0,1,3,1,0,0,-2,3,5,7,0,1,2,1,1,2,-2,3,-2,0,1,1,1,1,1,-2,1,1,2,2,0,2,3,4,3,1,1,0,-2,1,1,5,0,3,-2,0,1,1,2,0,0,0,0,0,4,0,1,1,0,0,1,1,0,3,0,-2,-2,1,0,1,0,-2,0,0,0,1,2,0,1,1,0,-2,3,0,0,0,-2,0,0,-2,0,0,2,0,0,-2,-2,-2,2,0,0,0,2,-2,-2,-2,0,0,2,0,1,2,-2,1,1,4,0,1,0,-2,1,1,2,2,-2,0,-2,0,0,3,-2,-2,-2,0,0,-2,0,0,1,0,1,1,1,0,0,1,-2,-2,-2,-2,0,-2,1,0,1,0,0,-2,-2,0,0,0,1,-2,-2,-2,0,0,0,0,-2,-2,1,0,0,0,0,0,0,1,0,0,1,-2,1,0,2,1,1,-2,-2,-2,-2,-2,-2,0,2,0,0,0,0,1,-2,0,0,-2,0,-2,1,1,-2,1,-2,1,-2,0,1,-2,1,0,0,1,1,1,0,-2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-2,0,0,0,1,0,0,0,0,1,1,0,0,1,0
10021,23.22903923,2005.75,2508,2034,3008,113,420,307,12,-2,-2,-2,5,-2,41,-2,2,3,-2,2,-2,2,27,39,-2,15,-2,42,23,10,7,60.07,-2,10,23,62,0,68,-2,82.3,1,2,2,1,1,72,-2,3,0,-2,2,1,0,0,10,0,0,-2,1,-2,0,5,0,1,-2,-2,-2,-2,7,5,6,1,-2,1,1,-2,-2,5,7,2,-2,-2,-2,2,5,2,0,-2,2,-2,4,-2,-2,-2,-2,5,1,-2,-2,-2,7,5,8,-2,4,4,1,2,2,0,3,0,2,2,1,1,-2,1,-2,-2,2,2,1,1,4,4,2,3,-2,1,3,-2,2,1,5,-2,2,-2,1,1,1,2,0,-2,0,-2,-2,4,-2,-2,-2,-2,0,-2,-2,-2,3,-2,0,0,-2,-2,-2,-2,-2,-2,-2,-2,0,1,0,0,0,-2,-2,3,-2,1,0,0,0,-2,-2,0,-2,2,-2,0,-2,-2,-2,0,0,0,0,2,0,0,0,-2,0,1,-2,1,1,-2,0,1,2,-2,0,-2,-2,1,0,4,1,-2,0,-2,0,-2,4,0,0,0,0,-2,-2,0,1,0,0,0,0,0,0,-2,1,-2,-2,-2,-2,0,-2,1,0,0,-2,0,-2,-2,0,0,1,1,-2,-2,-2,0,0,0,0,-2,-2,0,0,0,1,0,0,0,0,0,0,0,-2,0,0,2,1,1,-2,-2,-2,-2,-2,-2,0,1,0,0,0,1,1,-2,0,0,-2,1,-2,1,1,-2,1,-2,0,-2,0,2,-2,0,1,0,1,1,1,0,-2,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,1,0,0,0,0,1,1,0,0,1,0
10029,32.10591225,154.5,1259,892,2188,34,2936,2550,233,74,74,74,2,2,1,-2,42,5,-2,2,-2,5,78,33.4,-2,7,-2,41,-2,10,4,72.19,-2,-2,22,70,21.894,70,7,91.9,0,3,3,-2,-2,74,-2,-2,0,-2,5,0,0,0,5,0,0,4,-2,-2,0,1,0,9,1,-2,-2,-2,9,5,1,3,-2,2,2,1,-2,1,5,2,2,2,-2,5,1,2,0,-2,2,0,0,-2,-2,0,0,6,1,0,0,-2,3,3,3,0,1,7,1,2,2,-2,3,-2,0,3,2,1,1,1,-2,1,1,3,1,1,3,3,1,2,1,0,1,5,3,1,5,-2,2,-2,0,0,1,3,0,0,0,1,-2,3,-2,-2,-2,0,0,-2,1,-2,2,-2,-2,-2,0,0,0,-2,-2,-2,-2,-2,0,1,0,1,0,-2,-2,2,0,0,0,1,-2,0,-2,0,0,2,0,0,-2,-2,-2,1,0,0,0,2,0,0,0,0,0,3,0,1,1,-2,0,1,4,0,1,0,-2,0,1,2,1,-2,0,-2,1,0,3,-2,-2,-2,0,0,-2,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,0,-2,1,0,1,0,0,-2,-2,0,0,0,1,-2,-2,-2,0,0,0,0,-2,-2,0,1,0,0,0,0,0,1,0,0,0,-2,0,0,1,1,1,-2,-2,-2,-2,-2,-2,0,1,0,0,0,1,1,-2,0,0,-2,0,-2,0,0,0,1,-2,1,-2,1,1,-2,1,0,1,1,1,1,0,-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,-2,0,0,0,1,0,0,0,0,1,1,0,0,1,0
10031,19.76449646,462.48,976,739,3104,85,4833,4408,1608,80,80,79,1,1,41,10,42,3,-2,42,-2,1,58,35.3,-2,10,-2,60,23,20,0,71.39,-2,3,21,70,0.269,71,-2,106.8,1,4,4,1,1,70,-2,1,0,-2,1,0,0,0,9,0,0,-2,5,-2,1,2,0,1,-2,-2,-2,-2,6,5,3,7,-2,4,1,-2,-2,1,1,2,2,2,-2,1,5,2,0,-2,2,0,0,-2,-2,0,0,2,1,0,0,-2,3,2,8,0,0,4,1,2,2,-2,3,-2,1,3,1,0,1,1,-2,0,2,2,2,0,4,4,2,3,1,1,2,-2,3,1,4,-2,2,-2,0,1,1,4,0,0,0,0,-2,4,-2,-2,-2,0,0,-2,0,-2,2,-2,-2,-2,0,0,0,-2,-2,-2,-2,-2,0,1,0,1,0,-2,-2,2,0,0,0,0,0,0,-2,0,0,2,0,0,-2,-2,-2,2,0,0,3,2,0,0,0,-2,0,3,-2,0,1,-2,0,1,4,-2,0,-2,-2,0,0,3,1,-2,0,-2,0,0,4,0,0,0,0,0,-2,0,1,0,0,0,0,0,0,0,1,-2,-2,-2,-2,0,-2,1,0,1,0,0,-2,-2,0,0,0,1,-2,-2,-2,0,0,0,0,-2,-2,0,0,0,0,0,0,0,0,0,0,1,-2,1,0,1,0,1,-2,-2,-2,-2,-2,-2,0,2,0,0,0,1,1,-2,1,0,0,0,0,1,1,-2,1,0,0,-2,0,1,-2,0,1,0,1,1,1,0,-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-2,0,0,0,1,0,0,0,0,1,1,0,0,1,0
10041,72.74289515,3701.14,4790,4262,2518,1640,1584,1296,124,77,77,77,3,41,3,-2,1,41,-2,41,42,-2,60,12.4,-2,20,22,42,23,20,12,55.33,-2,5,21,71,8.099,72,5,91.3,0,5,5,-2,-2,71,-2,2,0,-2,-2,0,0,0,4,0,0,2,5,-2,-2,6,-9,9,5,1,-2,3,6,5,7,2,-9,-2,1,5,-2,1,2,2,1,1,-2,5,5,2,0,-2,2,0,0,-2,-2,0,0,2,1,0,0,-2,3,4,7,0,2,1,1,4,5,1,3,1,4,1,1,3,1,1,1,1,2,2,1,2,2,3,2,2,1,0,1,-2,3,1,3,-2,1,-2,2,1,1,4,-2,1,1,1,-2,2,-2,-2,-2,1,-2,-2,0,0,3,0,0,0,0,0,0,0,0,-2,-2,-2,0,1,-2,1,0,0,-2,2,0,1,1,0,0,0,-2,0,0,4,0,0,-2,-2,-2,0,-2,-2,0,2,0,0,0,0,0,2,0,3,2,-2,1,1,3,0,1,0,-2,0,1,3,1,-2,0,-2,1,0,4,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,1,-2,-2,-2,-2,0,-2,1,0,0,0,0,-2,-2,0,0,0,1,-2,-2,-2,0,0,0,0,-2,-2,0,0,0,0,0,0,0,1,0,0,1,-2,1,0,2,0,0,-2,-2,-2,-2,-2,-2,0,1,0,0,0,1,1,-2,0,0,-2,0,-2,1,1,-2,1,-2,0,-2,0,1,-2,1,1,0,1,0,1,0,-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-2,0,0,0,1,0,0,0,0,1,1,0,0,1,0
10045,27.10146839,1983.75,2770,1958,2357,123,315,97,0,-2,-2,-2,42,-2,3,-2,3,42,-2,3,42,-2,62,41.4,-2,7,22,42,-2,31,5,60.2,-2,5,21,66,0.112,65,-2,78.1,1,3,3,1,1,65,-2,3,-8,-2,-2,-8,-8,-8,10,-8,-8,-2,13,-2,-2,5,0,1,-2,2,-2,2,7,5,8,5,-2,-2,1,-2,-2,2,5,1,-2,2,-2,2,5,1,0,-2,1,0,3,-2,-2,0,0,3,1,0,0,-2,3,5,7,0,3,2,1,3,2,-2,3,-2,4,3,4,2,-2,1,-2,-2,1,2,2,1,2,2,1,2,-2,0,1,-2,4,1,4,-2,2,-2,0,1,1,4,0,0,0,-2,-2,4,-2,-2,-2,-2,0,-2,-2,0,4,0,-2,-2,0,-2,0,0,-2,-2,-2,-2,0,1,-2,1,0,0,-2,5,-2,0,1,0,-2,-2,-2,0,-2,2,-2,0,-2,-2,-2,5,-2,-2,0,2,0,0,0,-2,0,4,-2,1,2,-2,1,1,3,-2,0,-2,-2,1,2,1,1,-2,0,-2,1,-2,3,0,0,0,0,-2,5,0,2,0,0,0,0,0,0,-2,1,-2,-2,-2,-2,0,-2,1,0,1,-2,0,-2,-2,1,0,0,1,-2,-2,-2,0,0,0,0,-2,-2,0,0,0,0,0,1,0,0,0,0,1,-2,1,0,2,1,1,-2,-2,-2,-2,-2,-2,0,2,0,0,0,1,1,-2,0,0,-2,0,-2,1,0,-2,0,-2,0,-2,0,1,-2,0,1,0,1,0,1,0,-2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0
